_path,_write_ts,ts,cause,analyzer_kind,analyzer_name,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,failure_reason
analyzer,2018-03-24T17:15:20.613421Z,2018-03-24T17:15:20.613421Z,violation,protocol,RDP,CIOuwB3kJLIhO8re94,10.164.94.120,44749,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.632361Z,2018-03-24T17:15:20.632361Z,violation,protocol,RDP,CdCtsm1C9X0ctMWe2a,10.164.94.120,33645,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.650732Z,2018-03-24T17:15:20.650732Z,violation,protocol,RDP,Cnfnoz2XImt2MU5aWh,10.164.94.120,43015,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.666556Z,2018-03-24T17:15:20.666556Z,violation,protocol,RDP,CYRGIY1KBAyI4Hxjw2,10.164.94.120,38459,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.683531Z,2018-03-24T17:15:20.683531Z,violation,protocol,RDP,CgoukX3RcN2kdxFsn,10.164.94.120,38237,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.699438Z,2018-03-24T17:15:20.699438Z,violation,protocol,RDP,CAEcK03QZm1MTfgOYk,10.164.94.120,46749,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.719421Z,2018-03-24T17:15:20.719421Z,violation,protocol,RDP,CqmuponPIsw8Z0h1l,10.164.94.120,33533,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.721427Z,2018-03-24T17:15:20.721427Z,violation,protocol,RDP,CFDESq4Gwi4JOnWh3c,10.164.94.120,37569,10.47.21.25,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.722824Z,2018-03-24T17:15:20.722824Z,violation,protocol,RDP,CAdxCs37ONW3Si3Baj,10.164.94.120,34571,10.47.8.218,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.737634Z,2018-03-24T17:15:20.737634Z,violation,protocol,RDP,CWTdI641CxFWtNfcEb,10.164.94.120,35089,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.752356Z,2018-03-24T17:15:20.752356Z,violation,protocol,RDP,CCSix232KhQ7EFdAbi,10.164.94.120,41547,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.768098Z,2018-03-24T17:15:20.768098Z,violation,protocol,RDP,Ckfx7i2CqT9ba0a6V3,10.164.94.120,32959,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.784274Z,2018-03-24T17:15:20.784274Z,violation,protocol,RDP,C3lAW33v4DwYhLDwvh,10.164.94.120,35445,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.800753Z,2018-03-24T17:15:20.800753Z,violation,protocol,RDP,CUZkKR3g0fAV4DUpx3,10.164.94.120,33749,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.814657Z,2018-03-24T17:15:20.814657Z,violation,protocol,RDP,CS0OU11JPDRWrJq43f,10.164.94.120,40475,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.828878Z,2018-03-24T17:15:20.828878Z,violation,protocol,RDP,CRE3Pv2tfW4h4ENvLa,10.164.94.120,45263,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.842786Z,2018-03-24T17:15:20.842786Z,violation,protocol,RDP,CCwFpZ1X3TsCIAcQPh,10.164.94.120,33507,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.857973Z,2018-03-24T17:15:20.857973Z,violation,protocol,RDP,CrRHWo30fgVfFo4NRb,10.164.94.120,42765,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.872688Z,2018-03-24T17:15:20.872688Z,violation,protocol,RDP,CIpdVx3PE8FPo8WFK6,10.164.94.120,35493,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.887395Z,2018-03-24T17:15:20.887395Z,violation,protocol,RDP,CSFPN01uqoQpzxQjHb,10.164.94.120,45465,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.906118Z,2018-03-24T17:15:20.906118Z,violation,protocol,RDP,CxUWwI2KY75f6p4GP2,10.164.94.120,46527,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.908134Z,2018-03-24T17:15:20.908134Z,violation,protocol,RDP,CAfeuJ2q5yBaEkpHxk,10.164.94.120,45407,10.47.23.166,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.922184Z,2018-03-24T17:15:20.922184Z,violation,protocol,RDP,C2kMgK3fRMF5qnYZgg,10.164.94.120,40267,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.939263Z,2018-03-24T17:15:20.939263Z,violation,protocol,RDP,CVkUnf2mToaIDHD6i8,10.164.94.120,39891,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.954722Z,2018-03-24T17:15:20.954722Z,violation,protocol,RDP,CSqzTk2lpk0UH7Dph,10.164.94.120,38653,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.980035Z,2018-03-24T17:15:20.980035Z,violation,protocol,RDP,CNQPLn4dlCvlnwA2sf,10.164.94.120,46517,10.47.8.208,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
analyzer,2018-03-24T17:15:20.996276Z,2018-03-24T17:15:20.996276Z,violation,protocol,RDP,CtWwiZnlmKFdk6IV1,10.164.94.120,34701,10.47.21.172,3389,"Binpac exception: binpac exception: string mismatch at /usr/src/packages/BUILD/src/analyzer/protocol/rdp/rdp-protocol.pac:81: 
expected pattern: ""Cookie: mstshash\=""
actual data: ""\x01"""
